channel_id,channel_title,topic_categories,thumbnail_url,domain
UC3UVENYr99HSHFi01lLMohg,The Kota,"{""Film"",""Entertainment"",""Humour""}",https://img.youtube.com/vi/wruqxcV-w38/hqdefault.jpg,entertainment
UCYFn7BOOlmL21iNJ6q5IDfg,Lochi,"{""Lifestyle (sociology)"",""Entertainment"",""Film""}",https://img.youtube.com/vi/oS1pvA1CPAA/hqdefault.jpg,entertainment
UCdJppX3uAMFMvCTuE9qCowg,Inside Cinemax,"{""Film"",""Entertainment""}",https://img.youtube.com/vi/EU7bqSO4EFo/hqdefault.jpg,entertainment
UCAwE7N-WJi9cqI0DfKOkKWw,Pissu Kanna,"{""Film"",""Lifestyle (sociology)"",""Humour"",""Entertainment""}",https://img.youtube.com/vi/QJ_6MEEJZNU/hqdefault.jpg,entertainment
UC8Z-aOFJe-SmwXFRobzs0QA,Infinity,"{""Pop music"",""Music"",""Music of Asia"",""Electronic music""}",https://img.youtube.com/vi/i3CmvryZvnA/hqdefault.jpg,music
UC8aiYEuyGrdqbOoGV7Nn1tA,Hana Korean Academy,"{""Knowledge"",""Lifestyle (sociology)""}",https://img.youtube.com/vi/sE8CADNWr2M/hqdefault.jpg,others
UCUJSthdq3-URLsaxz4H-SNg,WildRush,"{""Hobby"",""Lifestyle (sociology)"",""Vehicle""}",https://img.youtube.com/vi/2FMOPqg3Hd4/hqdefault.jpg,others
UCJbxRq_IlWyzvB9KK0Mrs8A,Ratta,"{""Entertainment"",""Film""}",https://img.youtube.com/vi/zFuMsNEztcg/hqdefault.jpg,entertainment
UCTcATaNqlaCF4zkZp29BJRQ,Blok & Dino,"{""Film"",""Entertainment""}",https://img.youtube.com/vi/Jfxu81gcgwU/hqdefault.jpg,entertainment
UCETxOvOv9_44-CUzsPlzyxQ,Chanux Bro,"{""Technology"",""Lifestyle (sociology)""}",https://img.youtube.com/vi/6OfMu6FNSvU/hqdefault.jpg,technology_and_computing
UCcercbthyPyCFDewU8a_tQw,Sagzor,"{""Entertainment""}",https://img.youtube.com/vi/7gL3NWzTKLc/hqdefault.jpg,entertainment
UCXMnTjxEgbaxyPlFjaMPPHg,Test One,"{""Society""}",https://img.youtube.com/vi/AvE6YSohDRk/hqdefault.jpg,others
UCl4xofrHtiDaesAZeEbxkiA,Nafeel VFX,"{""Music"",""Pop music"",""Music of Asia""}",https://img.youtube.com/vi/2esCX5186cI/hqdefault.jpg,music
UCGkzF25IZBE1SF9ykM64xEA,Vini Productions - විනී,"{""Entertainment"",""Film""}",https://img.youtube.com/vi/U1W7rZd_G3A/hqdefault.jpg,entertainment
UCMQYRNX1Fg-HJ8Ey7Z3WPrA,"Wasthi Productions ""වස්ති""","{""Music"",""Music of Asia"",""Entertainment"",""Film""}",https://img.youtube.com/vi/b6yQjUfEQBE/hqdefault.jpg,music
UCn_fqvY_IkBcxCTu68IdWlQ,buck the duck,"{""Film"",""Music"",""Entertainment""}",https://img.youtube.com/vi/6QfaGVT5nQ4/hqdefault.jpg,entertainment
UCJPorwyXP29nZW95Gh-nrsw,Ronaldo Diaries,"{""Association football"",""Sport""}",https://img.youtube.com/vi/ll2-gzdYYEM/hqdefault.jpg,sports
UCbTS5E1D3H6LprsA4aaJ92A,Sandun Perera,"{""Pop music"",""Music of Asia"",""Music"",""Hip hop music""}",https://img.youtube.com/vi/lFlxJaHxxio/hqdefault.jpg,music
UCxh9zeZg-YQvNhwUcOqE2nQ,SHAN PUTHA - Topic,"{""Electronic music"",""Pop music"",""Hip hop music"",""Music"",""Music of Asia""}",https://img.youtube.com/vi/FVdhb_piW_U/hqdefault.jpg,music
UCQTecV2bMNvULSLZHz1Tqzw,Yt Trending Entertainments,"{""Lifestyle (sociology)"",""Pet"",""Entertainment""}",https://img.youtube.com/vi/zlHbMlsBdoQ/hqdefault.jpg,entertainment
UCkuoWSLw-SNu8dvVCU0MjMQ,Lakai Sikai - ලකයි සිකයි,"{""Television program"",""Entertainment"",""Film""}",https://img.youtube.com/vi/FRqd9dk0-QQ/hqdefault.jpg,entertainment
UCtlkXFj7WE0cOBQDhUzxlvA,Danyranks,"{""Entertainment"",""Lifestyle (sociology)""}",https://img.youtube.com/vi/eyBH4206Ekg/hqdefault.jpg,entertainment
