channel_id,topic_categories
UC3UVENYr99HSHFi01lLMohg,"{""https://en.wikipedia.org/wiki/Film"",""https://en.wikipedia.org/wiki/Entertainment"",""https://en.wikipedia.org/wiki/Humour""}"
UCYFn7BOOlmL21iNJ6q5IDfg,"{""https://en.wikipedia.org/wiki/Lifestyle_(sociology)"",""https://en.wikipedia.org/wiki/Entertainment"",""https://en.wikipedia.org/wiki/Film""}"
UCdJppX3uAMFMvCTuE9qCowg,"{""https://en.wikipedia.org/wiki/Film"",""https://en.wikipedia.org/wiki/Entertainment""}"
UCAwE7N-WJi9cqI0DfKOkKWw,"{""https://en.wikipedia.org/wiki/Film"",""https://en.wikipedia.org/wiki/Lifestyle_(sociology)"",""https://en.wikipedia.org/wiki/Humour"",""https://en.wikipedia.org/wiki/Entertainment""}"
UC8Z-aOFJe-SmwXFRobzs0QA,"{""https://en.wikipedia.org/wiki/Pop_music"",""https://en.wikipedia.org/wiki/Music"",""https://en.wikipedia.org/wiki/Music_of_Asia"",""https://en.wikipedia.org/wiki/Electronic_music""}"
UC8aiYEuyGrdqbOoGV7Nn1tA,"{""https://en.wikipedia.org/wiki/Knowledge"",""https://en.wikipedia.org/wiki/Lifestyle_(sociology)""}"
UCUJSthdq3-URLsaxz4H-SNg,"{""https://en.wikipedia.org/wiki/Hobby"",""https://en.wikipedia.org/wiki/Lifestyle_(sociology)"",""https://en.wikipedia.org/wiki/Vehicle""}"
UCJbxRq_IlWyzvB9KK0Mrs8A,"{""https://en.wikipedia.org/wiki/Entertainment"",""https://en.wikipedia.org/wiki/Film""}"
UCTcATaNqlaCF4zkZp29BJRQ,"{""https://en.wikipedia.org/wiki/Film"",""https://en.wikipedia.org/wiki/Entertainment""}"
UCETxOvOv9_44-CUzsPlzyxQ,"{""https://en.wikipedia.org/wiki/Technology"",""https://en.wikipedia.org/wiki/Lifestyle_(sociology)""}"
UCcercbthyPyCFDewU8a_tQw,"{""https://en.wikipedia.org/wiki/Entertainment""}"
UCXMnTjxEgbaxyPlFjaMPPHg,"{""https://en.wikipedia.org/wiki/Society""}"
UCl4xofrHtiDaesAZeEbxkiA,"{""https://en.wikipedia.org/wiki/Music"",""https://en.wikipedia.org/wiki/Pop_music"",""https://en.wikipedia.org/wiki/Music_of_Asia""}"
UCGkzF25IZBE1SF9ykM64xEA,"{""https://en.wikipedia.org/wiki/Entertainment"",""https://en.wikipedia.org/wiki/Film""}"
UCMQYRNX1Fg-HJ8Ey7Z3WPrA,"{""https://en.wikipedia.org/wiki/Music"",""https://en.wikipedia.org/wiki/Music_of_Asia"",""https://en.wikipedia.org/wiki/Entertainment"",""https://en.wikipedia.org/wiki/Film""}"
UCn_fqvY_IkBcxCTu68IdWlQ,"{""https://en.wikipedia.org/wiki/Film"",""https://en.wikipedia.org/wiki/Music"",""https://en.wikipedia.org/wiki/Entertainment""}"
UCJPorwyXP29nZW95Gh-nrsw,"{""https://en.wikipedia.org/wiki/Association_football"",""https://en.wikipedia.org/wiki/Sport""}"
